datetime,code,name,volume,avg_cost,close,market_value,pnl,profit
2025-12-10,SZSE.000571,新大洲A,64200,6.053025,6.58,422436.0,33831.794999999984,0.08705977589717534
2025-12-10,SZSE.000859,国风新材,44400,8.754375,8.88,394272.00000000006,5577.750000000058,0.014349967873206403
2025-12-10,SZSE.002300,太阳电缆,41200,9.42471,10.31,424772.0,36473.94800000003,0.09393286371676167
2025-12-10,SZSE.000547,航天发展,18100,21.39069,20.74,375394.0,-11777.489000000001,-0.03041930858705353
2025-12-10,SHSE.600343,航天动力,12500,31.065524999999994,33.15,414375.0,26055.93750000006,0.06709930059125042
2025-12-11,SZSE.000571,新大洲A,210100,6.290588126139264,6.35,1334135.0,12482.434698140714,0.009444565860839369
2025-12-11,SZSE.000859,国风新材,44400,8.754375,9.77,433788.0,45093.75,0.11601342186049832
2025-12-11,SHSE.600343,航天动力,12500,31.065524999999994,36.47,455875.0,67555.93750000006,0.1739701807711283
2025-12-11,SZSE.002585,双星新材,198000,6.753374999999999,6.45,1277100.0,-60068.24999999977,-0.04492198345271792
2025-12-12,SHSE.600343,航天动力,12500,31.065524999999994,40.12,501499.99999999994,113180.9375,0.2914637689206927
2025-12-15,SHSE.600330,天通股份,115400,11.775884999999999,11.76,1357104.0,-1833.1289999999572,-0.0013489432004473235
2025-12-15,SZSE.003031,中瓷电子,18400,73.6368,71.03,1306952.0,-47965.11999999988,-0.03540077787193351
2025-12-16,SHSE.600330,天通股份,115400,11.775884999999999,10.58,1220932.0,-138005.12899999996,-0.10155372611060652
2025-12-16,SHSE.600343,航天动力,18200,36.8184,39.35,716170.0,46075.12000000011,0.06875909871151399
2025-12-16,SZSE.002149,西部材料,23300,28.8144,29.81,694573.0,23197.47999999998,0.034552168360264285
2025-12-16,SHSE.600678,四川金顶,49300,13.64682,15.18,748374.0,75585.77399999998,0.11234705228031142
2025-12-16,SHSE.600855,航天长峰,33100,20.31015,22.13,732503.0,60237.03500000003,0.0896029817603514
2025-12-17,SHSE.600343,航天动力,11400,37.18446131756757,36.2,412680.00000000006,-11222.859020270233,-0.026475072723521252
2025-12-17,SHSE.600678,四川金顶,49300,13.64682,13.66,673438.0,649.7739999999758,0.0009657927634422898
